School_name ,city ,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,awards_and_recognitions,academic_offerings,sports_facilities,music_facilities,after_school_opportunities,other_facilities,student_services,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Ironwood High School,Glendale,85304,0,0,1,1,5,0,1922,131,6.82,825,42.92,10,10.0,756,39.33,103,5.36,84,4.37,10,10.0,19.05,10.0,2.13,20.0,99.51,258.0,671.0,5.0,0.0, 411.09, 6035.92, 278.10, 760.67, 7485.79,"['Ironwood was recognized as an ""A"" school by the Arizona Department of Education']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'International Baccalaureate', 'Online courses', 'Preschool', 'Others', 'chevron_right', 'ARISE Program']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Painting', 'Photography', 'Theater']","['Academic', 'chevron_right', 'IB/AIM', 'chevron_right', 'French Honor Society', 'chevron_right', 'Spanish Honor Society', 'chevron_right', 'National Honor Society', 'chevron_right', 'Ironwood Reads', 'Arts', 'chevron_right', 'Art Club - Bob Ross Paint Along', 'chevron_right', 'Ceramics Club', 'chevron_right', 'Photo Club', 'chevron_right', 'Choir', 'chevron_right', 'Drama', 'Athletic', 'chevron_right', 'Lacrosse', 'chevron_right', 'The Nest - Student Athletic Support Club', 'chevron_right', 'Fishing', 'chevron_right', 'Unified Sports', 'chevron_right', 'Weightlifting', 'Business Interest', 'chevron_right', 'DECA', 'chevron_right', 'FBLA', 'Career and Technical Education (CTE)', 'chevron_right', 'Culinary', 'chevron_right', 'Media Club', 'chevron_right', 'Skills USA', 'chevron_right', 'HOSA', 'chevron_right', 'Education Rising', 'chevron_right', 'Law Enforcement', 'Community/Civic', 'chevron_right', 'Key Club', 'chevron_right', 'Student Council', 'chevron_right', 'UNICEF', 'chevron_right', 'Multicultural Club', 'chevron_right', 'Eagles Feed', 'chevron_right', 'STAND', 'Games and Gaming', 'chevron_right', 'Esports', 'Speech and Debate', 'chevron_right', 'Speech and Debate', 'Tutoring and Mentoring', 'chevron_right', 'After School Tutoring', 'Others', 'chevron_right', 'Chris Pratt Club', 'chevron_right', 'ARISE', 'chevron_right', 'Gay Straight Alliance', 'chevron_right', 'Christian Club on Campus']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '6', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Pool', 'chevron_right', 'Practice Gym', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
James Madison Preparatory School,Tempe,85283,0,0,1,1,3,0,156,10,10.0,36,23.08,10,10.0,98,62.82,10,10.0,10,10.0,10,10.0,13.96,10.0,0.0,0.0,98.6,5.0,40.0,0.0,2.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['Perennial US News and World Reports Silver Award school', 'WalMart Teacher of the Year award winner', 'National Hispanic Scholar award winner', 'National Merit Scholars']","['Advanced Placement (AP)', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'chevron_right', 'Physical Education for grades 6-10', 'All course offerings are honors level. Challenging electives offered to seniors. Academic travel opportunities in state and out of state. Latin required grades 10 and 11. Small class sizes- average class size is 14:1. Everage teacher tenure over 9 years, high teacher retention level, including 5 teachers on campus since 2000. Teaching staff of 18 includes 1 PhD and 7 Masters level teachers. All teachers are highly qualified. 5 current teachers are JMPS alumni.']","['Baseball', 'Basketball', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', ""Football CAA State Champions 2018, state runner up 2016 and 2017. Volleyball CAA state runner up 2016-2018, Our sports are 'no cut' Varsity and JV teams. Students are able to participate in more than one sport per season. Student athletes must be academically eligible to participate.""]","['Art', 'Band', 'Choir', 'Dance', 'Music', 'Orchestra', 'Photography', 'Theater', 'Others', 'chevron_right', 'Rock Band', 'chevron_right', 'Ukulele Group', 'chevron_right', 'Drumline', 'JMPS students have a wide variety of arts opportunities; music, theater, dance, visual arts. Drumline and Danceline (Sparx) are fall activities. Chamber Orchestra, Choir, Show Choir, Ukulele Group, and Rock Band are year around. Fall Theater productions are high school only, All School Musical in the spring. JMPS Theater has produced and performed over 52 shows in our 20 year history. Visual arts classes for grades 6 and 7, art history grade 11. Music Appreciation and Theory classes.']","['Academic', 'chevron_right', 'Academic Decathlon', 'Arts', 'chevron_right', 'Drumline', 'chevron_right', 'Sparx Danceline', 'chevron_right', 'Rock Band', 'Athletic', 'chevron_right', 'Football', 'chevron_right', 'Volleyball', 'chevron_right', 'Basketball', 'chevron_right', 'Baseball', 'chevron_right', 'Softball', 'chevron_right', 'Soccer- co-ed', 'chevron_right', 'Track and Field', 'Community/Civic', 'chevron_right', 'Community service projects', 'chevron_right', 'Feed My Starving Childre', 'chevron_right', 'Autism', 'chevron_right', 'Walk for the Cure Juvenile Diabetes Foundation', 'Others', 'chevron_right', 'FIRST Robotics Team 2449']","['Auditorium', 'Science Lab', 'Others', 'chevron_right', 'Picnic Area']",['No data available'],0,0,0,0,0
Jefferson Preparatory High School,Glendale,85306,0,0,0,1,5,0,57,10,10.0,10,10.0,0,0.0,33,57.9,10,10.0,10,10.0,10,10.0,25.89,8.84,3.15,16.0,96.15,0.0,8.0,0.0,0.0, 0.00, 15774.08, 0.00, 652.30, 16426.38,"['AdvancED Accreditation', 'Bronze Medal Recipient US News and World Report Best High Schools in America 3 years in a row', '100 Graduation Rate', '26 Awarded Winners 2019 Scholastic Art and Writing contest']","['Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Preschool', 'Others', 'chevron_right', 'Entrepreneurship', 'chevron_right', 'Leadership and Life Skills', 'chevron_right', 'College Courses', 'Jefferson Prep provides a rigorous traditional liberal arts education for students who are college and career bound with support systems in place to guide students through the maze of college, scholarship, and career application processes.']","['Basketball', 'Cross-Country', 'Golf', 'Soccer', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Sports participation is based on student interest and can fluctuate from year to year.']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Music', 'Painting', 'Photography', 'Theater']","['Academic', 'chevron_right', '1/2 day Friday afternoon study hall', 'chevron_right', 'National Honor Society', 'Arts', 'chevron_right', 'National Art Honor Society', 'chevron_right', 'Drama Club', 'Athletic', 'chevron_right', 'Cross Country', 'chevron_right', 'Volleyball', 'chevron_right', 'Basketball', 'chevron_right', 'Swim', 'chevron_right', 'Soccer', 'chevron_right', 'Track and Field', 'Career and Technical Education (CTE)', 'chevron_right', 'FBLA', 'chevron_right', 'Drones and Robotics', 'Community/Civic', 'chevron_right', 'Giving Guardians', 'Games and Gaming', 'chevron_right', 'Comicon Club', 'chevron_right', 'Esports Team', 'Tutoring and Mentoring', 'chevron_right', 'After school tutoring in all subject areas']","['Art Room', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '2', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Music Hall', 'Natural Lighting in 50% areas', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Gym', 'chevron_right', 'Fields', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
Keystone Montessori Charter School,Phoenix,85048,1,1,1,1,4,0,177,10,10.0,57,32.2,0,0.0,86,48.59,12,6.78,12,6.78,10,10.0,22.98,8.84,0.0,20.1,100.0,0.0,23.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],['Foreign Language'],['No data available'],"['Art', 'Ceramics/Sculpting', 'Choir', 'Music', 'Painting', 'Photography', 'Theater']","['Arts', 'chevron_right', 'Private classes available in Music, Visual Arts, and Culinary Arts', 'Elementary After School Care and Programs', 'chevron_right', 'After Care program includes Active play, Spanish, Art and Music', 'Tutoring and Mentoring', 'chevron_right', 'Office Hours for tutoring with Middle School teachers.', 'Others', 'chevron_right', 'Chess Club', 'chevron_right', 'Odyssey of the Mind']","['Art Room', 'Enhanced Security', 'Garden', 'Gymnasium', 'Natural Lighting in 50% areas', 'Sports Facilities', 'chevron_right', 'Large multi-purpose field (soccer, baseball, basketball)', 'Each classroom includes a backyard environment and functional garage doors to access the outside.']","['Parent/Family education and support', 'Parenting programs']",0,0,0,0,0
Kino Junior High School,Mesa,85203,0,0,1,0,2,1,915,46,5.03,702,76.72,62,6.78,79,8.63,10,10.0,0,0.0,10,10.0,5.61,8.84,0.0,20.1,96.36,0.0,587.0,67.0,9.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['Arizona Civic Engage- School of Merit, Consecutive Years in a Row', 'PBIS (Positive Behavior Intervention & Supports)- Consecutive Years Award Winner', 'AVID Site of Distinction & Demonstration School', '2022 Arizona Teacher of the Year, Nancy Parra-Quinlan', 'Mesa Independent Professional Educators Principal of the Year- Keiko Hasebe Dilbeck', 'City Champions- Boys Soccer', 'Student Services Award- Support Staff of the Year', 'Arizona Diamondbacks Teacher of the Month- Jonathan Shotwell']","['AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'International Baccalaureate']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Music', 'Orchestra', 'Painting']","['Academic', 'chevron_right', 'National Academic League', 'chevron_right', 'International Baccalaureate', 'chevron_right', 'AVID Club', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Video Game Club', 'Athletic', 'chevron_right', 'Intramural Sports', 'chevron_right', 'Cheer', 'chevron_right', 'Weight Training', 'Career and Technical Education (CTE)', 'chevron_right', 'RoboKolts (Lego League)', 'chevron_right', 'Yearbook', 'Community/Civic', 'chevron_right', 'Native American Club', 'chevron_right', 'Student Council', 'Games and Gaming', 'chevron_right', 'Esports', 'Tutoring and Mentoring', 'chevron_right', 'Daily Tutoring', 'chevron_right', 'Peer Tutoring Club', 'chevron_right', 'Check In, Check Out']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '3', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'Technology Lab']","['Dedicated School Counselor', 'chevron_right', '3', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Parent/Family education and support', 'Family liaison', 'Parenting programs', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Everybody Matters', 'chevron_right', 'Southwest Behaviorial Health', 'Partner Community Organizations', 'List', 'chevron_right', 'Mesa Police Department']",1,1,1,1,1
La Joya Community High School,Avondale,85353,0,0,0,1,4,1,2078,188,9.05,1694,81.52,22,1.06,98,4.72,50,2.41,10,10.0,10,10.0,11.72,10.0,3.55,16.0,97.29,1702.0,1148.0,81.0,0.0, 843.99, 8016.18, 91.63, 849.17, 9800.96,"['Jobs for Arizona Graduates (JAG) Program of the Year', '2018 Student Scholarship total $5.5 million', '2017 Arizona Physics Teacher of the Year', '2018 Arizona Science Teacher of the Year']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Girls Wrestling', 'chevron_right', 'Girls Flag Football']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Piano/Guitar', 'chevron_right', 'Stage Production', 'chevron_right', 'AP Art Studio']","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'Creative Writing', 'chevron_right', 'Robotics Club', 'chevron_right', 'Science Club', 'chevron_right', 'Book Club', 'chevron_right', ""Educators Rising AZ (Future Teacher's Club)"", 'chevron_right', 'American Dream Academy (ASU student/parent organization)', 'chevron_right', 'La Joya LINK (Journalism)', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Drama/Theater Club', 'chevron_right', 'Dance Company', 'chevron_right', 'Hip Hop Club', 'Career and Technical Education (CTE)', 'chevron_right', 'Health Occupations Students of America (HOSA)', 'chevron_right', 'Future Business Leaders of America (FBLA)', 'chevron_right', 'Future Career and Community Leaders of America (FCCLA)', 'chevron_right', 'Photography Club', 'Career Focus', 'chevron_right', 'Jobs for Arizona Graduates (JAG)', 'chevron_right', 'Be a Leader (College and Career Exploration)', 'Community/Civic', 'chevron_right', 'Feminist Club', 'chevron_right', 'Student Government', 'chevron_right', 'Student Ambassadors/Peer Mediators', 'Games and Gaming', 'chevron_right', 'Esports Competitive Gaming Club', 'chevron_right', 'Chess Club', 'Others', 'chevron_right', 'Gay Straight Alliance (GSA)', 'chevron_right', 'Black Student Union', 'chevron_right', 'Kindness Club (Anti-Bullying)', 'chevron_right', 'Yearbook']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '6', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Library', 'Music Hall', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football/Soccer Stadium', 'chevron_right', 'Baseball/Softball Fields', 'chevron_right', 'Track', 'chevron_right', 'Tennis Courts', 'chevron_right', 'Indoor and Outdoor Basketball courts', 'chevron_right', 'Athletic Training Room', 'chevron_right', 'Volleyball Courts', 'chevron_right', 'Wrestling Room', 'chevron_right', 'Weight Room', 'chevron_right', 'Locker Room and Shower facilities', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
Leading Edge Academy Gilbert Early College,Gilbert,85233,0,0,0,1,4,1,219,20,9.13,66,30.14,10,10.0,112,51.14,12,5.48,10,10.0,10,10.0,18.81,10.0,12.69,16.2,100.0,0.0,59.0,0.0,0.0, 389.75, 5430.41, 605.09, 3697.87, 10123.13,"['A Rated', '2019 US News and World Report Best High School', '6 Girls Basketball State Championships (2018, 2016, 2015, 2014, 2013, 2012)', '3 Girls Volleyball State Championships (2014, 2015, 2016)', '3 Girls Softball State Championships (2015, 2016, 2017)']","['Career and Technical Education (CTE)', 'Coding', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Others', 'chevron_right', 'Free College Classes', 'chevron_right', 'Free Transportation to EVIT']","['Basketball', 'Cross-Country', 'Soccer', 'Softball', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'ESports']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Audio Engineering', 'chevron_right', 'Guitar']","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'National Junior Honor Society', 'Arts', 'Athletic', 'Community/Civic', 'chevron_right', 'School Service Days', 'Games and Gaming', 'chevron_right', 'ESports', 'Tutoring and Mentoring', 'chevron_right', 'Tutoring']","['Art Room', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '1', 'Gymnasium', 'Library', 'Music Hall', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Gymnasium', 'chevron_right', 'Weight Room', 'Technology Lab', 'Transportation']","['Dedicated School Social Worker', 'chevron_right', '1']",1,1,1,1,1
Learning Foundation,Mesa,85203,1,1,1,1,2,1,190,18,9.47,111,58.42,10,10.0,44,23.16,15,7.89,10,10.0,0,0.0,9.72,8.84,0.0,20.1,94.35,0.0,25.0,7.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Full-day Kindergarten', 'Preschool', 'Others', 'chevron_right', 'Computers']",['No data available'],"['Art', 'Dance']","['Elementary After School Care and Programs', 'chevron_right', 'Dance', 'chevron_right', 'Basketball', 'chevron_right', 'Cheer']","['Art Room', 'Garden', 'Kindergarten Playground', 'Library', 'Transportation']","['Health Services (i.e. School-based Health Center)', 'Health aide only', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Designated individual to refer to community supports']",0,0,0,0,0
Learning Foundation and Performing Arts Gilbert,Gilbert,85296,0,0,1,1,4,1,396,61,15.4,108,27.27,10,10.0,183,46.21,36,9.09,10,10.0,10,10.0,13.38,10.0,0.92,1.7,99.46,0.0,173.0,0.0,1.0, 956.42, 10220.32, 186.47, 3224.57, 14587.77,['No data available'],"['Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'LFPA offers honors level classes for students as well as concurrent and dual enrollment opportunities. LFPA currently offers two levels of Spanish with plans to expand. We offer all classes needed to attend almost every four-year university throughout the nation and we are part of the NCAA approved for all athletes to compete at every level of athletics.']","['Basketball', 'Football', 'Soccer', 'Spirit/Cheerleading', 'Volleyball', 'Others', 'chevron_right', 'E-Sports', 'LFPA plans on expanding its sports offerings by adding one girls and boys sport each school year.']","['Art', 'Ceramics/Sculpting', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Musical Theater, Video Production, Guitar', 'LFPA provides a robust selection of performing and visual arts classes for students. Most electives are arts related such as Dance, Drama, Musical Theater, Voice, Ceramics, Art, Video Production, Digital Photography, Guitar, and Musical Keyboard. However, we are expanding our selection to meet the needs of all students including P.E., Weight Training, Sports Training, Psychology, Spanish, Journalism/Yearbook, Computers, and more.']","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'Park University', 'Arts', 'chevron_right', 'Performance Choir', 'chevron_right', 'Dance', 'Athletic', 'chevron_right', 'Karate', 'chevron_right', 'Basketball', 'chevron_right', 'Football', 'chevron_right', 'Volleyball', 'chevron_right', 'POM & Cheer', 'Games and Gaming', 'chevron_right', 'E-Sports', 'Tutoring and Mentoring', 'Others', 'chevron_right', 'GSA']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Music Hall', 'Natural Lighting in 50% areas', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Outdoor courts, Grass field, Gym across the street', 'Technology Lab', 'Transportation']","['Health Services (i.e. School-based Health Center)', 'Health aide only', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports']",0,0,0,0,0
Madison Highland Prep,Phoenix,85014,0,0,0,1,5,1,456,19,4.17,240,52.63,10,10.0,157,34.43,21,4.61,10,10.0,10,10.0,22.89,10.0,0.0,20.0,100.0,132.0,38.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['2017 U.S. News & World Report Award “One of America’s Best High Schools” Bronze', '2017 AdvancED International Accreditation', '2017 PLTW Distinguished District Award', '2017 ADE School Report Card ‘A’ Letter Grade', '2018 U.S. News & World Report Award “One of America’s Best High Schools” Bronze', '2018 ADE School Report Card ‘A’ Letter Grade', '2018 AIA VEX VRC High School State Champions', '2018 100% College and Career Index', '2018 Results Based Funding Award School', '2019 31st High School in the World to Receive International STEM Certification through AdvancED']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'chevron_right', 'Project Lead The Way Engineering & Computer Science', 'chevron_right', 'Middlebury International Languages', 'chevron_right', 'Senior Internships']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Track and Field', 'Volleyball']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Cultural Arts', 'Music', 'Painting', 'Photography', 'Theater', 'Pep Band']","['Academic', 'chevron_right', 'Academic Decathlon', 'chevron_right', 'Chess Team', 'chevron_right', 'National Honor Society', 'chevron_right', 'Science Club', 'Career and Technical Education (CTE)', 'chevron_right', 'Engineering Club', 'chevron_right', 'Welding Club', 'Community/Civic', 'chevron_right', 'Botanical Society', 'chevron_right', 'Student Council', 'Games and Gaming', 'chevron_right', 'Magic the Gathering', 'Speech and Debate', 'chevron_right', 'Speech and Debate Team', 'Tutoring and Mentoring', 'chevron_right', 'Tutoring and Mentoring', 'Others', 'chevron_right', 'SeaPerch Robotics', 'chevron_right', 'VEX Robotics', 'chevron_right', 'ZERO Robotics']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '1', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Natural Lighting in 50% areas', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football Field', 'chevron_right', 'Baseball Field', 'chevron_right', 'Softball Field', 'chevron_right', 'Soccer Fields', 'chevron_right', 'Track', 'Technology Lab', 'Transportation']",['No data available'],1,1,1,1,1
Marcos De Niza High School,Tempe,85283,0,0,0,1,4,1,1517,145,9.56,825,54.38,177,11.67,262,17.27,63,4.15,35,2.31,10,10.0,14.76,9.95,3.92,16.9,95.23,153.0,651.0,85.0,0.0, 642.00, 8310.32, 191.91, 512.80, 9657.02,['1 National Merit Finalist'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Maryvale High School,Phoenix,85033,0,0,0,1,3,1,2795,122,4.37,2549,91.2,23,0.82,63,2.25,22,0.79,10,10.0,10,10.0,7.1,9.46,4.45,15.0,95.92,291.0,1030.0,24.0,0.0, 521.58, 7780.14, 49.51, 186.21, 8537.44,"['2024 AzCSA School Counselor of the Year Finalist, Melissa Gard', '2023 Chicanos Por La Causa Esperanza Latino Teacher of the Year, Michael Dominguez', '2023 AZ Education Foundation, Ambassador for Excellence, Annie Shanahan', '2022 National Teacher Hall of Fame Inductee, Kareem Neal', '2022 AZ Library Association, School Librarian of the Year, Jean Kilker', '2019 AZ Education Foundation, Arizona Teacher of the Year, Kareem Neal', '2023 JROTC State Championship Adventure Team', '2022 All Services Desert Classic State Championship Drill Meet, State Champions, Unarmed Drill', '2018 and 2019- State Champions, Cheer - Partner Stunt', 'JROTC US Army Honor Unit with Distinction']","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC', 'Others', 'chevron_right', 'Performing and Visual Arts', 'chevron_right', 'Gifted and Talented Academy', ""Maryvale High School is home to the Gifted and Talented Academy. Growing Hearts, Growing Minds Global Mindset • Conscious Constructivist • Ethic of Care • Self-empowerment The Academy is dedicated to supporting gifted and talented learners to excel academically and grow holistically. Our unique curriculum is designed especially for gifted learners. We support not only gifted students' learning aptitude and habits, but also their social-emotional health. Our creative approach to gifted education is setting in motion a new future for gifted urban students. Mission: Inspiring and supporting the gifted urban students through holistic education to unfold their potential as unique and whole beings in an interconnected world Vision: A self-empowered community of learners who, for the betterment of the world, approach life with a global mindset and an ethic of care.""]","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Mariachi', 'We are extremely proud of our preforming and visual arts program at Maryvale High School. We have award winning programs in dance, guitar, contemporary music, choir, piano, and theatre. We have a comprehensive visual arts program with courses in drawing and painting, ceramics, and explorations in art. We are a leader in the district for students earning their Arizona Arts Seal on their diplomas.']","['Academic', 'chevron_right', 'Academic Decathlon', 'chevron_right', 'AVID', 'chevron_right', 'National Honor Society', 'chevron_right', 'Student Government', 'chevron_right', 'Spanish Club', 'chevron_right', 'Panther Town', 'chevron_right', 'One Club', 'chevron_right', 'Travel Club', 'Arts', 'chevron_right', 'Touring Guitar', 'Career and Technical Education (CTE)', 'chevron_right', 'Business,', 'chevron_right', 'IT', 'chevron_right', 'FACS', 'Community/Civic', 'chevron_right', 'Be a Leader', 'chevron_right', 'Close-Up', 'chevron_right', 'E.A.R.T.H. Club', 'chevron_right', 'Native American Youth Council', 'Games and Gaming', 'chevron_right', 'Chess', 'ROTC/JROTC', 'chevron_right', 'JROTC', 'Others', 'chevron_right', 'Law Club']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '7', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Library', 'Music Hall', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Turf Football field/soccer field', 'chevron_right', 'Wrestling room', 'chevron_right', 'Baseball/softball field', 'chevron_right', 'Fitness center', 'chevron_right', 'Weight room', 'chevron_right', 'Trainer’s room,', 'chevron_right', 'Dance Studios', 'chevron_right', 'Rifle Range', 'chevron_right', 'Tennis Courts', 'Transportation', 'chevron_right', 'Bussing to partner school programs and for special education services.', 'Late Transportation following school activities', 'Others', 'chevron_right', 'JROTC Indoor rifle room']","['Dedicated School Counselor', 'chevron_right', '9', 'Dedicated School Social Worker', 'chevron_right', '2', 'Mental health services', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Parent/Family education and support', 'Family liaison', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Teen Lifeline', 'chevron_right', 'Southwest Behavioral Health', 'Partner Community Organizations', 'List', 'chevron_right', 'Elevate Ed', 'chevron_right', 'Homeless Youth Connection', 'chevron_right', 'Department of Economic Security for Vocational Rehab']",1,1,1,1,1
